survey,series,seriesID,state
CES,"Total Nonfarm, Seasonally adjusted",SMS09000000000000001, Connecticut
CES,"Mining and Logging, Seasonally adjusted",SMS09000001000000001, Connecticut
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS09000001500000001, Connecticut
CES,"Construction, Seasonally adjusted",SMS09000002000000001, Connecticut
CES,"Manufacturing, Seasonally adjusted",SMS09000003000000001, Connecticut
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS09000004000000001, Connecticut
CES,"Information, Seasonally adjusted",SMS09000005000000001, Connecticut
CES,"Financial Activities, Seasonally adjusted",SMS09000005500000001, Connecticut
CES,"Professional and Business Services, Seasonally adjusted",SMS09000006000000001, Connecticut
CES,"Education and Health Services, Seasonally adjusted",SMS09000006500000001, Connecticut
CES,"Leisure and Hospitality, Seasonally adjusted",SMS09000007000000001, Connecticut
CES,"Other Services, Seasonally adjusted",SMS09000008000000001, Connecticut
CES,"Government, Seasonally adjusted",SMS09000009000000001, Connecticut
CES,"Total Nonfarm, Not seasonally adjusted",SMU10000000000000001, Delaware
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU10000001500000001, Delaware
CES,"Manufacturing, Not seasonally adjusted",SMU10000003000000001, Delaware
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU10000004000000001, Delaware
CES,"Information, Not seasonally adjusted",SMU10000005000000001, Delaware
CES,"Financial Activities, Not seasonally adjusted",SMU10000005500000001, Delaware
CES,"Professional and Business Services, Not seasonally adjusted",SMU10000006000000001, Delaware
CES,"Education and Health Services, Not seasonally adjusted",SMU10000006500000001, Delaware
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU10000007000000001, Delaware
CES,"Other Services, Not seasonally adjusted",SMU10000008000000001, Delaware
CES,"Government, Not seasonally adjusted",SMU10000009000000001, Delaware
CES,"Total Nonfarm, Seasonally adjusted",SMS10000000000000001, Delaware
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS10000001500000001, Delaware
CES,"Manufacturing, Seasonally adjusted",SMS10000003000000001, Delaware
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS10000004000000001, Delaware
CES,"Information, Seasonally adjusted",SMS10000005000000001, Delaware
CES,"Financial Activities, Seasonally adjusted",SMS10000005500000001, Delaware
CES,"Professional and Business Services, Seasonally adjusted",SMS10000006000000001, Delaware
CES,"Education and Health Services, Seasonally adjusted",SMS10000006500000001, Delaware
CES,"Leisure and Hospitality, Seasonally adjusted",SMS10000007000000001, Delaware
CES,"Other Services, Seasonally adjusted",SMS10000008000000001, Delaware
CES,"Government, Seasonally adjusted",SMS10000009000000001, Delaware
CES,"Total Nonfarm, Not seasonally adjusted",SMU11000000000000001, District of Columbia
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU11000001500000001, District of Columbia
CES,"Manufacturing, Not seasonally adjusted",SMU11000003000000001, District of Columbia
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU11000004000000001, District of Columbia
CES,"Information, Not seasonally adjusted",SMU11000005000000001, District of Columbia
CES,"Financial Activities, Not seasonally adjusted",SMU11000005500000001, District of Columbia
CES,"Professional and Business Services, Not seasonally adjusted",SMU11000006000000001, District of Columbia
CES,"Education and Health Services, Not seasonally adjusted",SMU11000006500000001, District of Columbia
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU11000007000000001, District of Columbia
CES,"Other Services, Not seasonally adjusted",SMU11000008000000001, District of Columbia
CES,"Government, Not seasonally adjusted",SMU11000009000000001, District of Columbia
CES,"Total Nonfarm, Seasonally adjusted",SMS11000000000000001, District of Columbia
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS11000001500000001, District of Columbia
CES,"Manufacturing, Seasonally adjusted",SMS11000003000000001, District of Columbia
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS11000004000000001, District of Columbia
CES,"Information, Seasonally adjusted",SMS11000005000000001, District of Columbia
CES,"Financial Activities, Seasonally adjusted",SMS11000005500000001, District of Columbia
CES,"Professional and Business Services, Seasonally adjusted",SMS11000006000000001, District of Columbia
CES,"Education and Health Services, Seasonally adjusted",SMS11000006500000001, District of Columbia
CES,"Leisure and Hospitality, Seasonally adjusted",SMS11000007000000001, District of Columbia
CES,"Other Services, Seasonally adjusted",SMS11000008000000001, District of Columbia
CES,"Government, Seasonally adjusted",SMS11000009000000001, District of Columbia
CES,"Total Nonfarm, Not seasonally adjusted",SMU12000000000000001, Florida
CES,"Mining and Logging, Not seasonally adjusted",SMU12000001000000001, Florida
CES,"Total Nonfarm, Seasonally adjusted",SMS12000000000000001, Florida
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS12000001500000001, Florida
CES,"Construction, Seasonally adjusted",SMS12000002000000001, Florida
