"seriesid","series","state","survey","is_adjusted"
"SMU08000007000000001","Leisure and Hospitality","Colorado","CES",False
"SMU08000008000000001","Other Services","Colorado","CES",False
"SMU08000009000000001","Government","Colorado","CES",False
"SMS08000000000000001","Total Nonfarm","Colorado","CES",True
"SMS08000001000000001","Mining and Logging","Colorado","CES",True
"SMS08000001500000001","Mining, Logging, and Construction","Colorado","CES",True
"SMS08000002000000001","Construction","Colorado","CES",True
"SMS08000003000000001","Manufacturing","Colorado","CES",True
"SMS08000004000000001","Trade, Transportation, and Utilities","Colorado","CES",True
"SMS08000005500000001","Financial Activities","Colorado","CES",True
"SMS08000006000000001","Professional and Business Services","Colorado","CES",True
"SMS08000006500000001","Education and Health Services","Colorado","CES",True
"SMS08000007000000001","Leisure and Hospitality","Colorado","CES",True
"SMS08000008000000001","Other Services","Colorado","CES",True
"SMS08000009000000001","Government","Colorado","CES",True
"SMU09000000000000001","Total Nonfarm","Connecticut","CES",False
"SMU09000001000000001","Mining and Logging","Connecticut","CES",False
"SMU09000001500000001","Mining, Logging, and Construction","Connecticut","CES",False
"SMU09000002000000001","Construction","Connecticut","CES",False
"SMU09000003000000001","Manufacturing","Connecticut","CES",False
"SMU09000004000000001","Trade, Transportation, and Utilities","Connecticut","CES",False
"SMU09000005000000001","Information","Connecticut","CES",False
"SMU09000005500000001","Financial Activities","Connecticut","CES",False
"SMU09000006000000001","Professional and Business Services","Connecticut","CES",False
"SMU09000006500000001","Education and Health Services","Connecticut","CES",False
"SMU09000007000000001","Leisure and Hospitality","Connecticut","CES",False
"SMU09000008000000001","Other Services","Connecticut","CES",False
"SMU09000009000000001","Government","Connecticut","CES",False
"SMS09000000000000001","Total Nonfarm","Connecticut","CES",True
"SMS09000001000000001","Mining and Logging","Connecticut","CES",True
"SMS09000001500000001","Mining, Logging, and Construction","Connecticut","CES",True
"SMS09000002000000001","Construction","Connecticut","CES",True
"SMS09000003000000001","Manufacturing","Connecticut","CES",True
"SMS09000004000000001","Trade, Transportation, and Utilities","Connecticut","CES",True
"SMS09000005000000001","Information","Connecticut","CES",True
"SMS09000005500000001","Financial Activities","Connecticut","CES",True
"SMS09000006000000001","Professional and Business Services","Connecticut","CES",True
"SMS09000006500000001","Education and Health Services","Connecticut","CES",True
"SMS09000007000000001","Leisure and Hospitality","Connecticut","CES",True
"SMS09000008000000001","Other Services","Connecticut","CES",True
"SMS09000009000000001","Government","Connecticut","CES",True
"SMU10000000000000001","Total Nonfarm","Delaware","CES",False
"SMU10000001500000001","Mining, Logging, and Construction","Delaware","CES",False
"SMU10000003000000001","Manufacturing","Delaware","CES",False
"SMU10000004000000001","Trade, Transportation, and Utilities","Delaware","CES",False
"SMU10000005000000001","Information","Delaware","CES",False
"SMU10000005500000001","Financial Activities","Delaware","CES",False
"SMU10000006000000001","Professional and Business Services","Delaware","CES",False
"SMU10000006500000001","Education and Health Services","Delaware","CES",False
"SMU10000007000000001","Leisure and Hospitality","Delaware","CES",False
"SMU10000008000000001","Other Services","Delaware","CES",False
"SMU10000009000000001","Government","Delaware","CES",False
"SMS10000000000000001","Total Nonfarm","Delaware","CES",True
"SMS10000001500000001","Mining, Logging, and Construction","Delaware","CES",True
"SMS10000003000000001","Manufacturing","Delaware","CES",True
"SMS10000004000000001","Trade, Transportation, and Utilities","Delaware","CES",True
"SMS10000005000000001","Information","Delaware","CES",True
"SMS10000005500000001","Financial Activities","Delaware","CES",True
"SMS10000006000000001","Professional and Business Services","Delaware","CES",True
"SMS10000006500000001","Education and Health Services","Delaware","CES",True
"SMS10000007000000001","Leisure and Hospitality","Delaware","CES",True
"SMS10000008000000001","Other Services","Delaware","CES",True
"SMS10000009000000001","Government","Delaware","CES",True
"SMU11000000000000001","Total Nonfarm","District of Columbia","CES",False
"SMU11000001500000001","Mining, Logging, and Construction","District of Columbia","CES",False
"SMU11000003000000001","Manufacturing","District of Columbia","CES",False
"SMU11000004000000001","Trade, Transportation, and Utilities","District of Columbia","CES",False
"SMU11000005000000001","Information","District of Columbia","CES",False
"SMU11000005500000001","Financial Activities","District of Columbia","CES",False
"SMU11000006000000001","Professional and Business Services","District of Columbia","CES",False
"SMU11000006500000001","Education and Health Services","District of Columbia","CES",False
"SMU11000007000000001","Leisure and Hospitality","District of Columbia","CES",False
"SMU11000008000000001","Other Services","District of Columbia","CES",False
"SMU11000009000000001","Government","District of Columbia","CES",False
"SMS11000000000000001","Total Nonfarm","District of Columbia","CES",True
"SMS11000001500000001","Mining, Logging, and Construction","District of Columbia","CES",True
"SMS11000003000000001","Manufacturing","District of Columbia","CES",True
"SMS11000004000000001","Trade, Transportation, and Utilities","District of Columbia","CES",True
"SMS11000005000000001","Information","District of Columbia","CES",True
"SMS11000005500000001","Financial Activities","District of Columbia","CES",True
"SMS11000006000000001","Professional and Business Services","District of Columbia","CES",True
"SMS11000006500000001","Education and Health Services","District of Columbia","CES",True
"SMS11000007000000001","Leisure and Hospitality","District of Columbia","CES",True
"SMS11000008000000001","Other Services","District of Columbia","CES",True
"SMS11000009000000001","Government","District of Columbia","CES",True
"SMU12000000000000001","Total Nonfarm","Florida","CES",False
"SMU12000001000000001","Mining and Logging","Florida","CES",False
